NORAD_CAT_ID,SATNAME,EPOCH,Orb,Inc,Ecc,MnM,ApA,PeA,AvA,LAN,AgP,MnA,SMa,T,Vel
87134,TBA - TO BE ASSIGNED,2020-11-07T07:40:38.923680,33251.0,66.6735,0.0460125,13.094096,1575.3034796108996,875.5839637005329,1225.4437216557162,201.9621,39.8015,323.5835,7603.580721655716,6598.393657721762,7240.354115028104
87143,TBA - TO BE ASSIGNED,2020-11-06T06:44:20.123808,17153.0,26.1865,0.3713034,6.74022652,9855.620941310135,1064.4963537309714,5460.058647520553,296.4358,257.3515,59.5154,11838.195647520553,12818.560287792801,5802.646731462694
87149,TBA - TO BE ASSIGNED,2020-11-01T22:33:19.240992,73802.0,62.9045,0.3285345,8.35440665,7251.917876980901,510.7406414909974,3881.3292592359494,30.3343,229.4513,97.0686,10259.46625923595,10341.847556582596,6233.134583240473
87159,TBA - TO BE ASSIGNED,2020-11-05T21:33:39.102336,30298.0,90.3053,0.011753,13.60749661,1120.071610774089,945.866155880598,1032.9688833273435,7.7148,0.1495,359.9677,7411.105883327344,6349.441229072618,7333.771573924107
87163,TBA - TO BE ASSIGNED,2020-11-07T15:04:30.571104,32537.0,65.6024,0.0705126,13.50260009,1596.58136563086,546.022733759768,1071.302049695314,82.0531,155.5463,208.0829,7449.439049695314,6398.767602099653,7314.878253808859
87164,TBA - TO BE ASSIGNED,2020-11-07T12:37:27.692544,36661.0,65.2062,0.0131115,14.40484772,850.4482203981188,663.3462180671804,756.8972192326496,229.1985,111.4782,250.0349,7135.03421923265,5997.980796425932,7474.305719554784
87180,TBA - TO BE ASSIGNED,2020-11-07T13:26:12.273792,35115.0,65.9175,0.0021204,13.83842856,965.8273562212726,934.7489707878822,950.2881635045774,359.5368,141.4556,218.8031,7328.4251635045775,6243.483472519359,7375.026059533515
87203,TBA - TO BE ASSIGNED,2020-11-06T22:16:39.181728,28130.0,98.8812,0.0064148,14.52701749,762.3508271974533,671.3251361724278,716.8379816849406,200.3336,247.1423,112.2989,7094.974981684941,5947.5387882939685,7495.3765156556265
87204,TBA - TO BE ASSIGNED,2020-11-07T10:29:30.878016,36063.0,98.7175,0.0052214,14.20341213,861.8053453602415,786.5927902712556,824.1990678157485,182.0018,331.6454,28.1883,7202.336067815749,6083.045342147647,7439.302128018082
87211,TBA - TO BE ASSIGNED,2020-11-05T22:47:48.075936,44036.0,99.0336,0.0067163,14.31563731,834.6285736800173,738.3887543336796,786.5086640068484,194.0241,218.6022,152.911,7164.645664006848,6035.358267958234,7458.844093188343
87213,TBA - TO BE ASSIGNED,2020-11-06T02:55:07.802112,28561.0,99.025,0.0067389,14.77719218,683.8038710816845,589.2615556190913,636.5327133503879,61.4034,191.4511,168.5166,7014.669713350388,5846.848233924767,7538.158665024085
87214,TBA - TO BE ASSIGNED,2020-11-06T21:33:45.914976,34336.0,100.3393,0.0073203,13.78390743,1023.3877479318662,915.8124680287701,969.6001079803182,114.9203,334.9384,24.8218,7347.737107980318,6268.179065970403,7365.327849122762
87222,TBA - TO BE ASSIGNED,2020-11-06T21:17:56.533632,46796.0,98.9768,0.0067943,15.05570912,596.8239274434045,502.68359107215474,549.7537592577796,170.854,73.458,298.0853,6927.89075925778,5738.686853694998,7585.223333851416
87228,TBA - TO BE ASSIGNED,2020-11-05T12:09:40.875840,33701.0,98.9267,0.0047836,14.32473845,817.7319458008687,749.215384246454,783.4736650236614,51.2573,188.5836,171.4533,7161.610665023661,6031.523737873196,7460.424407130677
87235,TBA - TO BE ASSIGNED,2020-11-06T15:17:06.129600,31959.0,98.9144,0.0155154,14.25764101,917.3883590252244,694.4611751431876,805.924767084206,76.3218,210.6275,148.5777,7184.061767084206,6059.908503756042,7448.757900030372
87237,TBA - TO BE ASSIGNED,2020-11-07T06:09:08.328960,35304.0,99.4656,0.0105399,13.89893459,1006.0207554739009,851.9876800319134,929.0042177529072,325.3882,249.5821,168.4416,7307.141217752907,6216.303806635864,7385.759088521459
87239,TBA - TO BE ASSIGNED,2020-11-07T14:47:52.270080,36132.0,82.8854,0.0032122,14.24689234,832.6259394361259,786.449442152586,809.537690794356,174.1708,350.6068,9.4511,7187.674690794355,6064.480445143863,7446.885585417085
87245,TBA - TO BE ASSIGNED,2020-11-07T18:15:47.407104,35357.0,65.6622,0.0535352,13.92977718,1308.8257907352681,527.6025522624177,918.2141714988429,224.7952,293.8027,90.4825,7296.351171498843,6202.539989229021,7391.218203573811
87256,TBA - TO BE ASSIGNED,2020-11-03T23:26:56.991264,32148.0,98.8994,0.0044376,14.06115665,904.8707474809135,840.5181681266131,872.6944578037633,18.1676,235.7461,123.9501,7250.831457803763,6144.586974642652,7414.38242611215
87271,TBA - TO BE ASSIGNED,2020-11-07T13:50:31.658784,35198.0,65.7758,0.0572505,13.87766873,1355.2319370527866,517.7024427073302,936.4671898800584,23.7692,287.9688,65.9795,7314.604189880058,6225.829545363407,7381.990341819726
87280,TBA - TO BE ASSIGNED,2020-11-07T19:58:36.530400,28310.0,64.6147,0.0119987,13.46871177,1173.3258441160242,994.2589397263346,1083.7923919211794,149.2028,330.3145,29.1118,7461.92939192118,6414.867396037527,7308.753591304374
87293,TBA - TO BE ASSIGNED,2020-11-07T14:55:09.168960,35332.0,65.9097,0.0536852,13.92248225,1312.6055376889271,528.9197626883142,920.7626501886207,276.6566,269.7136,84.2437,7298.89965018862,6205.789919394573,7389.927734633558
87300,TBA - TO BE ASSIGNED,2020-11-07T08:50:39.474816,35359.0,100.0817,0.0033293,13.92572341,943.9265344707419,895.3336226016008,919.6300785361714,98.3704,177.5025,182.6304,7297.767078536171,6204.3455450189695,7390.501149615953
87304,TBA - TO BE ASSIGNED,2020-11-06T08:29:53.588544,37273.0,74.0196,0.0019554,14.68018673,681.1771925765179,653.6235051126569,667.4003488445874,338.0109,56.6832,303.6206,7045.5373488445875,5885.4837195929795,7521.627594359694
87305,TBA - TO BE ASSIGNED,2020-11-07T08:48:56.880864,20105.0,73.9974,0.0033759,14.62196339,709.9392156964077,662.2429604912159,686.0910880938118,208.7696,93.6375,266.8654,7064.2280880938115,5908.9191851683245,7511.670533773247
87313,TBA - TO BE ASSIGNED,2020-11-07T20:24:46.935936,35289.0,65.8405,0.0209906,13.88562295,1087.1528217997766,780.1942415083031,933.6735316540398,147.6957,174.6478,185.6908,7311.81053165404,6222.263150246341,7383.400443221489
87320,TBA - TO BE ASSIGNED,2020-11-07T20:19:34.960224,33983.0,66.5957,0.0448027,13.61819531,1360.950470215077,697.2232149126066,1029.0868425638419,163.3732,151.0064,211.6704,7407.223842563842,6344.452993456141,7335.6930948327845
